month,category,budget,actual,cost_type
2024-12-01,Professional Services,22968.0,24374.79,Fixed
2025-01-01,Marketing,115920.0,120516.14,Variable
2025-01-01,Cloud & API,30850.92,35057.76,Variable
2025-01-01,Software,33488.0,35008.12,Fixed
2025-01-01,Office & Admin,39928.0,36996.0,Fixed
2025-01-01,Professional Services,23184.0,25142.82,Fixed
2025-02-01,Marketing,117000.0,118371.57,Variable
2025-02-01,Cloud & API,31780.15,33733.19,Variable
2025-02-01,Software,33800.0,37555.48,Fixed
2025-02-01,Office & Admin,40300.0,40700.75,Fixed
2025-02-01,Professional Services,23400.0,24654.5,Fixed
2025-03-01,Marketing,118080.0,129587.66,Variable
2025-03-01,Cloud & API,32801.68,35552.86,Variable
2025-03-01,Software,34112.0,34422.62,Fixed
2025-03-01,Office & Admin,40672.0,40280.63,Fixed
2025-03-01,Professional Services,23616.0,23620.41,Fixed
2025-04-01,Marketing,119160.0,134208.81,Variable
2025-04-01,Cloud & API,33658.87,33824.79,Variable
2025-04-01,Software,34424.0,34481.04,Fixed
2025-04-01,Office & Admin,41044.0,38175.68,Fixed
2025-04-01,Professional Services,23832.0,25198.84,Fixed
2025-05-01,Marketing,120240.0,133552.62,Variable
2025-05-01,Cloud & API,34774.33,39548.47,Variable
2025-05-01,Software,34736.0,33470.99,Fixed
2025-05-01,Office & Admin,41416.0,39837.61,Fixed
2025-05-01,Professional Services,24048.0,25690.24,Fixed
2025-06-01,Marketing,121320.0,134809.9,Variable
2025-06-01,Cloud & API,35713.27,39324.39,Variable
2025-06-01,Software,35048.0,33901.72,Fixed
2025-06-01,Office & Admin,41788.0,40623.44,Fixed
2025-06-01,Professional Services,24264.0,26036.45,Fixed
2025-07-01,Marketing,122400.0,128802.7,Variable
2025-07-01,Cloud & API,36671.32,36503.84,Variable
2025-07-01,Software,35360.0,38480.17,Fixed
2025-07-01,Office & Admin,42160.0,41504.88,Fixed
2025-07-01,Professional Services,24480.0,26130.2,Fixed
2025-08-01,Marketing,123480.0,133039.61,Variable
2025-08-01,Cloud & API,37574.52,41048.75,Variable
2025-08-01,Software,35672.0,34036.0,Fixed
2025-08-01,Office & Admin,42532.0,38880.72,Fixed
2025-08-01,Professional Services,24696.0,24265.13,Fixed
2025-09-01,Marketing,124560.0,139448.6,Variable
2025-09-01,Cloud & API,38290.63,42258.58,Variable
2025-09-01,Software,35984.0,34828.23,Fixed
2025-09-01,Office & Admin,42904.0,44680.98,Fixed
2025-09-01,Professional Services,24912.0,27237.74,Fixed
2025-10-01,Marketing,125640.0,126334.44,Variable
2025-10-01,Cloud & API,39086.84,45543.74,Variable
2025-10-01,Software,36296.0,37430.04,Fixed
2025-10-01,Office & Admin,43276.0,39744.32,Fixed
2025-10-01,Professional Services,25128.0,25186.5,Fixed
2025-11-01,Marketing,126720.0,137159.81,Variable
2025-11-01,Cloud & API,39919.64,44686.81,Variable
2025-11-01,Software,36608.0,37701.41,Fixed
2025-11-01,Office & Admin,43648.0,40145.64,Fixed
2025-11-01,Professional Services,25344.0,29107.52,Fixed
2025-12-01,Marketing,127800.0,130204.62,Variable
2025-12-01,Cloud & API,40548.74,46945.64,Variable
2025-12-01,Software,36920.0,41711.9,Fixed
2025-12-01,Office & Admin,44020.0,40370.05,Fixed
2025-12-01,Professional Services,25560.0,25641.27,Fixed
2026-01-01,Marketing,128880.0,137683.61,Variable
2026-01-01,Cloud & API,43015.48,46462.6,Variable
2026-01-01,Software,37232.0,36769.83,Fixed
2026-01-01,Office & Admin,44392.0,45578.93,Fixed
2026-01-01,Professional Services,25776.0,27930.96,Fixed
2026-02-01,Marketing,129960.0,127797.7,Variable
2026-02-01,Cloud & API,44406.06,48128.64,Variable
2026-02-01,Software,37544.0,38217.93,Fixed
2026-02-01,Office & Admin,44764.0,42804.3,Fixed
2026-02-01,Professional Services,25992.0,29053.59,Fixed
2026-03-01,Marketing,131040.0,152524.22,Variable
2026-03-01,Cloud & API,45675.88,48210.42,Variable
2026-03-01,Software,37856.0,43593.53,Fixed
2026-03-01,Office & Admin,45136.0,43489.07,Fixed
2026-03-01,Professional Services,26208.0,26070.33,Fixed
2026-04-01,Marketing,132120.0,134115.75,Variable
2026-04-01,Cloud & API,47201.56,46529.04,Variable
2026-04-01,Software,38168.0,37997.74,Fixed
2026-04-01,Office & Admin,45508.0,44765.55,Fixed
2026-04-01,Professional Services,26424.0,27267.23,Fixed
2026-05-01,Marketing,133200.0,139145.47,Variable
2026-05-01,Cloud & API,48366.11,52667.16,Variable
2026-05-01,Software,38480.0,41304.36,Fixed
2026-05-01,Office & Admin,45880.0,45172.88,Fixed
2026-05-01,Professional Services,26640.0,29689.92,Fixed
2026-06-01,Marketing,134280.0,134066.21,Variable
2026-06-01,Cloud & API,49491.09,52318.63,Variable
2026-06-01,Software,38792.0,36375.5,Fixed
2026-06-01,Office & Admin,46252.0,45490.35,Fixed
2026-06-01,Professional Services,26856.0,27147.48,Fixed
2026-07-01,Marketing,135360.0,,Variable
2026-07-01,Cloud & API,50668.27,,Variable
2026-07-01,Software,39104.0,,Fixed
2026-07-01,Office & Admin,46624.0,,Fixed
2026-07-01,Professional Services,27072.0,,Fixed
2026-08-01,Marketing,136440.0,,Variable
2026-08-01,Cloud & API,51742.75,,Variable
2026-08-01,Software,39416.0,,Fixed
2026-08-01,Office & Admin,46996.0,,Fixed
2026-08-01,Professional Services,27288.0,,Fixed
2026-09-01,Marketing,137520.0,,Variable
2026-09-01,Cloud & API,52791.99,,Variable
2026-09-01,Software,39728.0,,Fixed
2026-09-01,Office & Admin,47368.0,,Fixed
2026-09-01,Professional Services,27504.0,,Fixed
2026-10-01,Marketing,138600.0,,Variable
2026-10-01,Cloud & API,53841.23,,Variable
2026-10-01,Software,40040.0,,Fixed
2026-10-01,Office & Admin,47740.0,,Fixed
2026-10-01,Professional Services,27720.0,,Fixed
2026-11-01,Marketing,139680.0,,Variable
2026-11-01,Cloud & API,54948.13,,Variable
2026-11-01,Software,40352.0,,Fixed
2026-11-01,Office & Admin,48112.0,,Fixed
2026-11-01,Professional Services,27936.0,,Fixed
2026-12-01,Marketing,140760.0,,Variable
2026-12-01,Cloud & API,56112.68,,Variable
2026-12-01,Software,40664.0,,Fixed
2026-12-01,Office & Admin,48484.0,,Fixed
2026-12-01,Professional Services,28152.0,,Fixed
